Code,Name,Organiser,Year,Credits,Semester,Written Exam %,Coursework %,Practical Exam %
ELEE08016,Analogue Circuits 2,Dr David Laurenson,2,10.0,Semester 1,80,20,0
ELEE09027,Signals and Communication Systems 3,Dr Mehrdad Yaghoobi Vaighan,3,10.0,Semester 2,70,30,0
ELEE09034,Microelectronics with Design and Manufacturing 3,Dr Jonathan Terry,3,20.0,Semester 1,90,10,0
ELEE09023,Electromagnetics 3: Signal Transmission,Dr Philip Hands,3,10.0,Semester 2,80,20,0
ELEE09032,Analogue Mixed Signal Laboratory 3,Dr Wasiu Popoola,3,10.0,Semester 2,0,100,0
ELEE09016,Engineering Software 3,Prof Tughrul Arslan,3,10.0,Semester 1,0,100,0
ELEE09026,Analogue Circuits 3,Dr Chang Liu,3,10.0,Semester 1,100,0,0
ELEE09024,Digital System Design 3,Dr Alister Hamilton,3,10.0,Semester 1,100,0,0
ELEE09029,"Power Systems, Power Electronics and Machines 3",Dr Jonathan Shek,3,20.0,Semester 2,60,40,0
ELEE09035,Digital System Design and Digital Systems Laboratory 3,Dr Alister Hamilton,3,20.0,Semester 1,50,50,0
ELEE08024,Practical Skills in Power Engineering,Dr Jonathan Shek,4,0.0,Full Year,0,0,100
ELEE11110,Introduction to Bioelectronics 4,Dr Adam Stokes,4,20.0,Semester 1,100,0,0
ELEE10031,Data Analysis and Machine Learning 4,Dr Elliot Crowley,4,10.0,Semester 2,0,100,0
ELEE10027,"Power Electronics, Machines and Systems 4",Prof Stephen Finney,4,20.0,Semester 1,100,0,0
ELEE10007,Digital System Design 4,Dr Chang Liu,4,10.0,Semester 2,100,0,0
ELEE10017,Professional Issues for Engineers 4,Dr Jonathan Terry,4,10.0,Semester 2,30,70,0
ELEE10020,Analogue Electronics (Circuits) 4,Dr Srinjoy Mitra,4,10.0,Semester 2,100,0,0
ELEE10023,Digital Systems Laboratory,Dr Alister Hamilton,4,10.0,Semester 2,0,100,0
ELEE10028,Radio Frequency Engineering 4,Prof Tughrul Arslan,4,10.0,Semester 2,100,0,0
ELEE11095,MEng Electronics and Electrical Engineering Project Phase One (External),Dr Stewart Smith,4,20.0,Semester 2,0,100,0
ELEE10006,Digital Communications 4,Dr Majid Safari,4,10.0,Semester 1,80,20,0
ELEE10011,BEng Electronics and Electrical Engineering Project 4,Dr Stewart Smith,4,40.0,Full Year,0,100,0
ELEE10003,Microelectronic Device Principles 4,Prof Ian Underwood,4,10.0,Semester 1,100,0,0
ELEE10010,Digital Signal Analysis 4,Dr Javier Escudero Rodriguez,4,10.0,Semester 1,0,100,0
ELEE10030,Distributed Energy Resources and Smart Grids 4,Dr Michael Merlin,4,20.0,Semester 1,0,100,0
ELEE10021,Analogue Electronics (Project) 4,Dr Srinjoy Mitra,4,20.0,Full Year,0,100,0
ELEE11107,Data Converter Design in Simulink 5,Dr Istvan Gyongy,4,10.0,Block 3 (Sem 2),0,100,0
ELEE11091,MEng Electronics and Electrical Engineering Project Phase One (Internal),Dr Stewart Smith,4,20.0,Semester 2,0,100,0
ELEE11092,Advanced Coding Techniques 5,Dr John Thompson,5,10.0,Semester 2,100,0,0
ELEE11054,Power Systems Engineering 5,Dr Sasa Djokic,5,20.0,Semester 2,0,100,0
ELEE11089,MEng Electronics and Electrical Engineering Project Phase Two (External),Prof Tughrul Arslan,5,60.0,Full Year,0,100,0
ELEE11085,Solar Energy Conversion 5,Dr Aristides Kiprakis,5,10.0,Semester 2,0,100,0
ELEE11090,MEng Electronics and Electrical Engineering Project Phase Two (Internal),Prof Tughrul Arslan,5,60.0,Full Year,0,100,0
ELEE11097,Lab-on-Chip Technologies 5,Dr Filippo Menolascina,5,10.0,Semester 2,100,0,0
ELEE11093,Advanced Wireless Communications 5,Prof Tharmalingam Ratnarajah,5,10.0,Semester 2,100,0,0
ELEE11106,Data Converter Design in Cadence 5,Dr Robert Henderson,5,10.0,Blocks 4-5 (Sem 2),0,100,0
ELEE11073,Analogue Electronics (Project) 5,Dr Robert Henderson,5,20.0,Semester 2,0,100,0
ELEE11111,Radio Frequency (RF) and Microwave Circuits and Systems 5,Dr Symon Podilchak,5,10.0,Semester 2,80,20,0
ELEE11083,Embedded Mobile and Wireless Systems (EWireless) 5,Prof Tughrul Arslan,5,20.0,Semester 2,0,100,0
ELEE11103,Machine Learning in Signal Processing 5,Prof Sotirios Tsaftaris,5,10.0,Semester 2,100,0,0
ELEE11104,Advanced Power Electronics and Machines 5,Dr Markus Mueller,5,20.0,Semester 2,100,0,0
ELEE11109,Sensors and Instrumentation 5,Dr Stewart Smith,5,10.0,Semester 2,100,0,0
ELEE11049,Principles of Microelectronic Devices,Prof Ian Underwood,pg,10.0,Semester 1,70,30,0
ELEE11043,Analogue VLSI B,Dr Robert Henderson,pg,20.0,Semester 2,0,100,0
ELEE11044,Analogue IC Design,Dr Danial Chitnis,pg,10.0,Semester 1,100,0,0
ELEE11045,Analogue circuit design,Dr Srinjoy Mitra,pg,10.0,Semester 2,100,0,0
MAEE10005,Engineering Project Management 4,Dr Simon Smith,4,10.0,Semester 1,100,0,0
MAEE10002,Supply Chain Management 4,Dr Ashley Lloyd,4,10.0,Semester 2,100,0,0
MAEE10003,Operations Management 4,Dr Stephen Harwood,4,10.0,Semester 1,0,100,0
MAEE11004,Technology and Innovation Management 5,Dr Matjaz Vidmar,5,10.0,Semester 2,0,100,0
MAEE11005,Technology Entrepreneurship 5,Dr Matjaz Vidmar,5,10.0,Semester 2,0,100,0
MECE08013,Practical Skills in Mechanical Engineering,Dr Andrew Downes,2,0.0,Full Year,0,0,100
MECE08009,Dynamics 2,Dr John Chick,2,10.0,Semester 2,50,50,0
MECE09030,Conceptual Design for Mechanical Engineers 3,Dr Nan Yu,3,10.0,Semester 2,0,100,0
MECE09026,Sustainable Energy Group Design Project 3,Dr Parvez Alam,3,10.0,Semester 2,0,100,0
MECE09032,Manufacture 3,Dr Anthony Callanan,3,20.0,Semester 1,50,50,0
MECE09036,Structural Mechanics and Dynamics 3,Dr Livio Gibelli,3,20.0,Semester 1,80,20,0
MECE09033,Computational Methods and Modelling 3,Dr Antonio Attili,3,10.0,Semester 1,50,50,0
MECE09034,Thermofluids 3,Dr Rohit Pillai,3,20.0,Semester 2,40,60,0
MECE11007,Industrial/European Placement 4,Mr Stephen Warrington,4,60.0,Semester 2,0,100,0
MECE10017,Design of Surgical Tools and Implanted Medical Devices 4,Dr Anthony Callanan,4,10.0,Semester 2,80,20,0
MECE10008,BEng Mechanical Engineering Project 4,Dr Livio Gibelli,4,40.0,Semester 2,0,100,0
MECE10012,Thermodynamics (Mechanical) 4,Ms Erika Palfi,4,10.0,Semester 1,100,0,0
