Code,Name,Organiser,Year,Credits,Semester,Written Exam %,Coursework %,Practical Exam %
PGEE11134,"CDT-ISM, credits awarded at U of Glasgow, semester 1, Digital signal processing",Prof Ian Underwood,pg,20.0,Semester 1,70,30,0
PGEE11199,Ocean to End User (IDCORE),Prof David Ingram,pg,10.0,Flexible,0,100,0
PGEE11187,Interdisciplinary Group Design Project (IDCORE),Prof Tom Bruce,pg,20.0,Full Year,0,100,0
PGEE11130,"CDT-ISM, credits awarded at Glasgow, semester 1, detection and analysis of ionising radiation",Prof Ian Underwood,pg,10.0,Semester 1,0,0,100
PGEE10002,Fire Science and Fire Dynamics,Dr Richard Carvel,pg,10.0,Semester 1,80,20,0
PGEE11164,"Probability, Estimation Theory and Random Signals (PETARS) (MSc)",Dr James Hopgood,pg,20.0,Semester 1,100,0,0
PGEE11150,Oil and Gas Systems Engineering (MSc),Dr Dimitrios Gerogiorgis,pg,10.0,Semester 2,80,20,0
PGEE10006,Finite Element Analysis for Solids (MSc),Dr Stefanos Papanicolopulos,pg,10.0,Semester 1,60,40,0
PGEE11042,Lab-on-Chip Technologies,Dr Filippo Menolascina,pg,10.0,Semester 2,80,20,0
PGEE11174,Models for Fire Safety (MSc),Dr Richard Carvel,pg,10.0,Semester 2,0,100,0
PGEE11210,Additive and Computer Aided Manufacturing (MSc),Dr Sam Tammas-Williams,pg,10.0,Semester 1,0,100,0
PGEE11161,Sustainable Energy Contexts (MSc),Prof Tom Bruce,pg,10.0,Semester 1,0,100,0
PGEE11227,Introduction to Interdisciplinary Research and Innovation,Prof Tughrul Arslan,pg,10.0,Semester 1,0,100,0
PGEE11089,Gaps and Compromises: Learning from Recent Projects and Schemes (IDCORE),Prof David Ingram,pg,10.0,Block 5 (Sem 2) and beyond,-,-,-
PGEE11125,Technology and Innovation Management (MSc),Dr Matjaz Vidmar,pg,10.0,Semester 2,0,100,0
PGEE11193,Marine Renewable Resource Assessment (IDCORE),Dr Helen Smith,pg,20.0,Full Year,0,100,0
PGEE10022,"CDT-ISM, credits awarded at U of Glasgow, semester 1, Microelectronics in Consumer Products P4",Prof Ian Underwood,pg,10.0,Semester 1,90,10,0
PGEE11045,Separation Processes For Carbon Capture,Dr Hyungwoong Ahn,pg,10.0,Semester 2,0,100,0
PGEE11170,Nanomaterials in Chemical and Biomedical Engineering (MSc),Dr Norbert Radacsi,pg,10.0,Semester 2,100,0,0
PGEE10019,Digital Communication Fundamentals (MSc),Dr Majid Safari,pg,10.0,Semester 1,80,20,0
PGEE11010,Signal Processing & Communications: Project and Thesis,Dr Nicholas Polydorides,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11017,Sustainable Energy Systems Dissertation,Dr Brian Sellar,pg,60.0,Block 5 (Sem 2) and beyond,0,65,35
PGEE11101,Marine Energy System Design Interdisciplinary Group Project (IDCORE),Prof Tom Bruce,pg,10.0,Semester 2,-,-,-
PGEE11209,Leading Major Programmes Dissertation (MSc),Dr Frederic Bosche,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11036,Pre-Dissertation Project in Fire Safety Engineering,Dr Stephen Welch,pg,20.0,Semester 2,0,100,0
PGEE11203,Managing Strategic Risk in Major Projects (MSc),Dr Simon Smith,pg,10.0,Semester 1,0,100,0
PGEE11029,Principles of wind energy,Prof Alasdair McDonald,pg,10.0,Semester 2,0,100,0
PGEE11200,Data Converter Design in Simulink (MSc),Dr Istvan Gyongy,pg,10.0,Semester 2,0,100,0
PGEE11094,Introduction to Offshore Renewable Technologies (IDCORE),Prof David Ingram,pg,10.0,Semester 1,-,-,-
PGEE11099,Physical Model Testing for Offshore Renewables (IDCORE),Prof David Ingram,pg,10.0,Semester 2,-,-,-
PGEE11090,Marine Renewable Resource Assessment (IDCORE),Prof Vengatesan Venugopal,pg,10.0,Semester 1,-,-,-
PGEE11189,Energy Systems (IDCORE),Dr Sasa Djokic,pg,10.0,Full Year,0,100,0
PGEE11186,Offshore Engineering (IDCORE),Prof Lars Johanning,pg,10.0,Full Year,0,100,0
PGEE11107,Solar Energy & Photovoltaic Systems (MSc),Dr Aristides Kiprakis,pg,10.0,Semester 2,0,100,0
PGEE11218,Power Engineering Laboratory (MSc),Dr Paul Judge,pg,10.0,Semester 1,0,100,0
PGEE11194,Advanced Power Electronics and Machines (MSc),Dr Markus Mueller,pg,20.0,Semester 2,100,0,0
SCEE08012,Engineering Principles 1,Dr Simone Dimartino,1,20.0,Semester 1,0,100,0
SCEE08011,Engineering Design 1,Dr Jonathan Terry,1,20.0,Semester 2,0,100,0
SCEE08016,Materials 2,Dr Jane Blackford,2,10.0,Semester 2,80,20,0
SCEE08008,Power Engineering 2,Dr Paul Judge,2,10.0,Semester 1,100,0,0
SCEE08014,Programming Skills for Engineers 2,Prof David Ingram,2,10.0,Semester 1,0,100,0
SCEE08003,Fluid Mechanics 2,Prof Tom Bruce,2,10.0,Semester 1,50,50,0
SCEE08006,Engineering Thermodynamics 2,Dr Giulio Santori,2,10.0,Semester 2,80,20,0
SCEE08010,Engineering Mathematics 2B,Dr Nicholas Polydorides,2,10.0,Semester 2,80,20,0
SCEE08002,Structural Mechanics 2A,Dr Thomas Reynolds,2,10.0,Semester 1,0,100,0
SCEE08018,Sensing in the Community 2,Dr Helen Szoor-McElhinney,2,20.0,Semester 2,0,100,0
SCEE08009,Engineering Mathematics 2A,Dr Daniel Friedrich,2,10.0,Semester 1,50,50,0
SCEE08017,Engineering Principles and Design 2,Dr Gary Wells,2,10.0,Semester 1,0,100,0
SCEE08015,Professional Development for Engineers 2,Dr Angus Law,2,10.0,Semester 2,0,100,0
SCEE09001,Professional Issues for Mechanical Engineers 3,Dr Katherine Dunn,3,10.0,Full Year,0,100,0
SCEE09004,Partial Differential Equations 3,Dr Martin Sweatman,3,10.0,Semester 2,60,40,0
SCEE09002,Control and Instrumentation Engineering 3,Dr Aristides Kiprakis,3,10.0,Semester 2,0,100,0
SCEE11014,Interdisciplinary Group Design Project (Engineering),Dr Dongmin Yang,4,20.0,Semester 1,0,100,0
SCEE11008,Oil and Gas Systems Engineering 5,Dr Dimitrios Gerogiorgis,5,10.0,Semester 2,80,20,0
SCEE11011,Particle Technology Fundamentals and Industrial Applications 5,Dr Jin Sun,5,10.0,Semester 2,60,40,0
SCEE11007,Membrane Separation Processes 5,Prof Maria-Chiara Ferrari,5,10.0,Semester 2,100,0,0
